no real user sys rows
223 0.012 0.003 0.003 0
224 0.007 0.006 0 0
225 0.007 0.003 0.003 0
226 0.012 0 0.005 0
227 0.007 0.006 0 0
228 0.012 0 0.005 0
229 0.007 0.006 0 0
230 0.007 0.003 0.003 0
231 0.014 0.006 0 0
232 0.013 0.006 0 1
233 0.007 0.006 0 0
234 0.007 0 0.005 0
235 0.01 0.005 0 1
236 0.01 0.006 0 1
237 0.008 0 0.005 0
238 0.006 0 0.005 0
239 0.011 0.005 0 0
240 0.009 0 0.005 0
241 0.008 0.005 0 0
242 0.008 0.005 0.001 1
243 0.006 0.005 0 0
244 0.007 0 0.005 0
245 0.009 0 0.005 0
246 0.006 0.005 0 0
247 0.015 0.001 0.005 0
248 0.011 0.006 0 0
249 0.009 0.005 0 1
250 0.007 0.006 0 0
251 0.01 0.006 0 1
252 0.006 0.005 0 0
253 0.007 0 0.005 0
254 0.006 0.005 0 0
255 0.007 0.006 0 1
256 0.007 0.006 0 0
257 0.007 0.006 0 0
258 0.014 0.003 0.003 1
259 0.007 0.006 0 0
260 0.014 0.005 0 0
261 0.017 0 0.006 0
262 0.007 0.006 0 0
263 0.013 0.006 0 0
264 0.008 0 0.005 0
265 0.007 0 0.005 0
266 0.007 0.006 0 0
267 0.014 0.005 0 0
268 0.013 0 0.006 0
269 0.007 0 0.005 0
270 0.007 0.006 0 0
271 0.013 0 0.005 0
272 0.007 0.003 0.003 0
273 0.008 0 0.005 0
274 0.006 0.005 0 0
275 0.007 0 0.005 0
276 0.008 0.003 0.003 0
277 0.013 0.006 0 0
278 0.017 0 0.006 1
279 0.007 0.006 0 0
280 0.009 0.006 0 1
281 0.008 0 0.005 0
282 0.011 0 0.005 1
283 0.008 0.006 0 0
284 0.007 0.005 0 0
285 0.008 0.003 0.003 0
286 0.007 0.003 0.003 0
287 0.014 0.006 0 0
288 0.008 0.005 0.001 0
289 0.012 0.006 0 0
290 0.007 0.005 0 0
291 0.012 0.001 0.005 0
292 0.008 0.006 0 0
293 0.007 0.005 0 0
294 0.008 0.003 0.003 0
295 0.011 0.006 0 0
296 0.007 0 0.005 0
297 0.012 0 0.005 0
298 0.007 0.006 0 0
299 0.007 0.006 0 0
300 0.007 0.006 0 1
301 0.009 0.006 0 1
302 0.007 0 0.005 0
303 0.009 0.006 0 0
304 0.014 0.005 0.001 0
305 0.015 0.006 0 1
306 0.016 0.006 0 0
307 0.014 0.006 0 0
308 0.014 0.006 0 0
309 0.014 0.006 0 0
310 0.008 0.006 0 0
311 0.013 0.006 0 0
312 0.007 0.005 0 0
313 0.008 0.003 0.003 0
314 0.007 0.006 0 0
315 0.015 0 0.005 0
316 0.014 0 0.005 0
317 0.007 0.005 0 0
318 0.008 0.005 0 1
319 0.007 0.005 0 0
320 0.007 0 0.005 0
321 0.007 0.003 0.003 0
322 0.007 0 0.005 1
323 0.006 0 0.005 0
324 0.013 0.003 0.003 0
325 0.007 0 0.005 0
326 0.007 0.005 0 0
327 0.006 0.002 0.003 0
328 0.006 0.005 0 0
329 0.016 0.005 0 0
330 0.007 0.005 0 0
331 0.015 0.003 0.003 0
332 0.01 0 0.006 1
333 0.008 0.005 0.001 0
334 0.007 0.005 0 0
335 0.009 0.003 0.003 1
336 0.007 0.005 0 0
337 0.006 0.005 0 1
338 0.01 0 0.005 1
339 0.006 0.003 0.003 1
340 0.006 0 0.005 0
341 0.009 0.006 0 0
342 0.006 0.005 0 0
343 0.006 0.005 0 0
344 0.011 0.003 0.002 0
345 0.006 0.005 0 0
346 0.006 0.005 0 0
347 0.008 0.002 0.003 0
348 0.006 0.005 0 0
349 0.013 0.005 0 0
350 0.007 0.005 0 0
351 0.006 0.005 0 0
352 0.006 0.005 0 0
353 0.006 0.005 0 0
354 0.006 0.005 0 0
355 0.007 0.005 0 1
356 0.008 0.005 0 0
357 0.007 0.005 0 0
358 0.006 0.005 0 0
359 0.007 0.005 0 0
360 0.006 0.005 0 0
361 0.007 0 0.005 0
362 0.011 0 0.005 0
363 0.008 0 0.005 1
364 0.011 0.005 0 0
365 0.007 0.005 0 0
366 0.006 0 0.005 0
367 0.011 0.005 0 0
368 0.013 0.005 0 1
